,Index,Company Name,Symbol,Sector,Industry
1321,2197,iShr CoreMSCI US Div,XDU,,
1322,2199,iShrCorUS DivCADHg,XDUH,,
1323,2201,iShares CoreSP500Idx,XUS,,
1324,2203,iShares Core S&P 500,XSP,,
1325,2205,iShr CorS&P US MktUn,XUU,,
1326,2207,iShre CoreS&P US Mkt,XUH,,
1327,2209,iShr CoreSP/TSX Comp,XIC,,
1328,2211,iShare Divrs Mo Incm,XTR,,
1329,2213,iShr MSCI MinVolCda,XMV,,
1330,2215,iShare MSCIMinVlEAFE,XMI,,
1331,2217,iShr EgMinVlEAFE C-H,XML,,
1332,2219,iShr MinVol EmrgMkt,XMM,,
1333,2221,iShr MSCI MinVolGlbl,XMW,,
1334,2223,iShr EgMinVolGlb C-H,XMY,,
1335,2225,iShr MSCI MinVol USA,XMU,,
1336,2227,iShr EgMinVl USA C-H,XMS,,
1337,2229,iShr MSCIMultfactrCA,XFC,,
1338,2231,iShr MSCIMultfacEAFE,XFI,,
1339,2233,iShr MSCI EAFE CA-HG,XFF,,
1340,2235,iShrMSCIMultiftr USA,XFS,,
1341,2237,iShrMSCIMultiUSA C-H,XFA,,
1342,2239,iShares EqWeight Un,CEW,,
1343,2241,iShr ESG CA AggrBnd,XSAB,,
1344,2243,iShr ESG Cdn ST Bond,XSTB,,
1345,2245,iShr ESG MSCI CdaIdx,XESG,,
1346,2247,iShrESG MSCI EAFEIDX,XSEA,,
1347,2249,iShrESG MSCI EmrgMkt,XSEM,,
1348,2251,iShrESG MSCI USA Idx,XSUS,,
1349,2253,iShares Fltg Rate Un,XFR,,
1350,2255,iShares GlblAgri Un,COW,,
1351,2257,iShare Glbl Hlthcare,XHC,,
1352,2259,iShares GlbInfras Un,CIF,,
1353,2261,iShares GlblMoDiv Un,CYH,,
1354,2263,iShares GlblRlEst Un,CGR,,
1355,2265,iShares GlblWater Un,CWW,,
1356,2267,iShare GldBulHdgd Un,CGL,,
1357,2268,iShare GldBul Nn-Hdg,CGL.C,,
1358,2270,iShare HighCdnBnd Un,XQB,Financial Services,Asset Management
1359,2272,iShares India Idx Un,XID,,
1360,2274,iShr JP USD Emrg Mkt,XEB,,
1361,2276,iShare Jantzi Social,XEN,,
1362,2278,iShare MSCI EAFE Idx,XIN,,
1363,2280,iShare MSCI EmergMkt,XEM,,
